index,env_id,curr_pos,curr_capacity,possible_actions,action,reward,bl_action,bl_reward,done
34007,68,0,1.0,[1. 1. 0. 1. 0. 1. 0. 1. 1. 0. 0.],8,3.909828424453736,10,3.3052775859832764,False
34008,68,8,0.6,[1. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0.],3,11.547330856323242,0,0.0,False
34009,68,3,0.1,[1. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0.],0,0.0,6,13.428833961486816,False
34010,68,0,1.0,[1. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0.],1,21.33255386352539,1,6.47435998916626,False
34011,68,1,0.52,[1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],7,19.702220916748047,0,0.0,False
34012,68,7,0.03,[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],0,0.0,3,15.38565731048584,False
34013,68,0,1.0,[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],5,30.41576385498047,5,23.547250747680664,True
34500,69,0,1.0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1,23.57090759277344,3,13.25135898590088,False
34501,69,1,0.63,[1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1.],5,14.927165031433104,2,5.365460395812988,False
34502,69,5,0.48,[1. 0. 1. 1. 1. 0. 1. 1. 1. 1. 1.],8,16.179229736328125,6,1.471183180809021,False
34503,69,8,0.0,[1. 0. 1. 1. 1. 0. 1. 1. 0. 1. 1.],0,0.0,0,0.0,False
34504,69,0,1.0,[1. 0. 1. 1. 1. 0. 1. 1. 0. 1. 1.],3,13.25135898590088,8,14.162023544311523,False
34505,69,3,0.64,[1. 0. 1. 0. 1. 0. 1. 1. 0. 1. 1.],4,5.991582870483398,9,7.023877143859863,False
34506,69,4,0.21,[1. 0. 1. 0. 0. 0. 1. 1. 0. 1. 1.],0,0.0,5,8.704920768737793,False
34507,69,0,1.0,[1. 0. 1. 0. 0. 0. 1. 1. 0. 1. 1.],2,15.254222869873049,0,0.0,False
34508,69,2,0.68,[1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1.],6,1.471183180809021,4,19.261098861694336,False
34509,69,6,0.43,[1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1.],9,12.67714786529541,1,6.691534996032715,False
34510,69,9,0.3,[1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1.],0,0.0,0,0.0,False
34511,69,0,1.0,[1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1.],10,24.10453987121582,10,24.10453987121582,False
34512,69,10,0.82,[1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],7,48.45672225952149,7,48.45672225952149,True
34513,69,2,0.18,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0,0.0,8,19.805805206298828,True
35000,70,0,1.0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],4,12.33159065246582,9,1.6054120063781738,False
35001,70,4,0.76,[1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1.],8,18.080434799194336,2,3.625170946121216,False
