test_reward,test_reward_std,best_reward,best_reward_std,best_epoch,loss,gradient_step,env_step,rew,bl_rew,len,n/ep,n/st,epoch
209.592964,39.1461634415137,189.753126,33.637798478083,0,-27.8718848470095,82,2655,189.727036,133.922001,26,100,2655,1
201.008101,40.4061916645494,189.753126,33.637798478083,0,-32.8885228860378,165,5317,207.118585,140.290585,26,100,2662,2
203.891128,42.7312156685042,189.753126,33.637798478083,0,-35.1142195391655,248,7994,195.957739,136.519083,26,100,2677,3
191.497111,37.3186211500128,189.753126,33.637798478083,0,-43.9935884428024,331,10658,203.740511,143.832385,26,100,2664,4
188.893572,37.9564322883331,188.893572,37.9564322883331,5,-82.0230270957947,413,13303,191.729846,133.006259,26,100,2645,5
189.089553,39.1907256891486,188.893572,37.9564322883331,5,-62.4405969905853,495,15955,182.068398,137.675484,26,100,2652,6
177.368811,32.6024210314936,177.368811,32.6024210314936,7,-26.1478647696972,578,18613,178.554974,140.002174,26,100,2658,7
172.619809,35.5936437571601,172.619809,35.5936437571601,8,-20.066190469265,660,21266,173.585995,134.629938,26,100,2653,8
182.550475,39.4964898547817,172.619809,35.5936437571601,8,-18.6811917364597,742,23905,174.199952,137.832227,26,100,2639,9
175.999189,35.7018844566415,172.619809,35.5936437571601,8,-22.0131481039524,824,26548,174.137851,134.134673,26,100,2643,10
188.436032,35.3319040431842,172.619809,35.5936437571601,8,-16.7708300113678,906,29192,177.729858,139.436374,26,100,2644,11
182.328688,37.1365757538314,172.619809,35.5936437571601,8,-22.5113082075119,988,31841,186.090597,144.4764,26,100,2649,12
188.735961,47.3956790078123,172.619809,35.5936437571601,8,-25.6262233543396,1070,34487,177.891466,137.64521,26,100,2646,13
182.430283,38.0935829469533,172.619809,35.5936437571601,8,-20.8829293811321,1153,37155,185.588625,141.399555,26,100,2668,14
186.944988,34.4723876198974,172.619809,35.5936437571601,8,-28.473096960783,1235,39806,184.023813,137.497483,26,100,2651,15
185.540203,31.9132376723467,172.619809,35.5936437571601,8,-26.5997088479996,1318,42469,185.122646,139.876051,26,100,2663,16
190.435931,41.4116306302365,172.619809,35.5936437571601,8,-33.9984561681747,1401,45143,187.541026,140.466317,26,100,2674,17
184.598068,36.7126960925042,172.619809,35.5936437571601,8,-39.5224359941483,1483,47784,189.800985,141.833377,26,100,2641,18
189.844808,38.4945450295978,172.619809,35.5936437571601,8,-32.8128965675831,1565,50435,187.504741,141.617272,26,100,2651,19
184.114237,31.3726546687482,172.619809,35.5936437571601,8,-25.1803864490986,1648,53095,178.552814,134.208031,26,100,2660,20
188.818081,38.9727474928974,172.619809,35.5936437571601,8,-27.5477549886703,1730,55737,188.581508,140.925678,26,100,2642,21
195.071357,36.4651188986413,172.619809,35.5936437571601,8,-28.4652693152428,1813,58398,181.95414,135.322679,26,100,2661,22
190.699923,35.3737505768016,172.619809,35.5936437571601,8,-31.6319888186455,1895,61047,188.752091,141.664198,26,100,2649,23
193.587142,38.6657398441855,172.619809,35.5936437571601,8,-35.925107884407,1978,63707,190.335081,137.49177,26,100,2660,24
187.347647,37.0952886455098,172.619809,35.5936437571601,8,-26.8256634402275,2061,66367,194.80834,142.400128,26,100,2660,25
186.34258,36.5604236415362,172.619809,35.5936437571601,8,-26.5403439831734,2143,69017,189.844536,140.687577,26,100,2650,26
194.267497,42.8188786459488,172.619809,35.5936437571601,8,-29.7212319511175,2225,71659,191.648274,142.628031,26,100,2642,27
192.288864,40.2168973683837,172.619809,35.5936437571601,8,-35.9822274929285,2308,74320,190.731804,139.121775,26,100,2661,28
188.526031,35.6770433659593,172.619809,35.5936437571601,8,-29.9383826896548,2391,76986,191.825904,141.074954,26,100,2666,29
191.963067,39.4869168423671,172.619809,35.5936437571601,8,-28.7191345071793,2473,79640,190.890966,138.559448,26,100,2654,30
189.797729,38.2280850180369,172.619809,35.5936437571601,8,-32.7126943826675,2555,82293,189.427898,136.184036,26,100,2653,31
186.568474,35.9078491594293,172.619809,35.5936437571601,8,-34.9922755920887,2637,84937,193.426754,140.153962,26,100,2644,32
190.462063,38.1316287365244,172.619809,35.5936437571601,8,-38.9705781173706,2720,87597,193.112376,139.115451,26,100,2660,33
192.487659,34.9409829133586,172.619809,35.5936437571601,8,-34.2631210660934,2803,90254,194.448977,143.80421,26,100,2657,34
