test_reward,test_reward_std,best_reward,best_reward_std,best_epoch,loss,gradient_step,env_step,rew,bl_rew,len,n/ep,n/st,epoch
524.504502,102.509145513664,514.1312,85.4071507260885,0,-428.561128158569,211,6756,503.089564,304.209622,67,100,6756,1
451.679533,76.4790482076824,451.679533,76.4790482076824,2,-901.209065246582,421,13499,531.085544,299.285468,67,100,6743,2
496.453048,91.5905007965613,451.679533,76.4790482076824,2,-458.513654556274,632,20254,444.661729,295.705714,67,100,6755,3
535.659016,79.3798085884096,451.679533,76.4790482076824,2,-543.536998901367,843,27029,490.053697,305.666595,67,100,6775,4
496.842956,86.3511897617437,451.679533,76.4790482076824,2,-1110.0259765625,1053,33755,535.695761,294.461283,67,100,6726,5
411.171281,73.0719955332817,411.171281,73.0719955332817,6,-1019.47314575195,1263,40506,487.091729,297.814188,67,100,6751,6
437.401156,78.5027249827473,411.171281,73.0719955332817,6,-243.435639805794,1473,47235,425.635631,308.745243,67,100,6729,7
444.418047,74.3689594051463,411.171281,73.0719955332817,6,-370.259347362518,1683,53982,443.085184,303.061031,67,100,6747,8
454.385875,67.2949809964018,411.171281,73.0719955332817,6,-421.540543498993,1893,60733,435.233333,293.280708,67,100,6751,9
488.724484,87.7511646456863,411.171281,73.0719955332817,6,-305.314189796448,2103,67467,466.441228,301.430806,67,100,6734,10
539.163497,104.667026913142,411.171281,73.0719955332817,6,-395.506054382324,2313,74188,496.286285,297.990802,67,100,6721,11
508.514573,76.3073234664247,411.171281,73.0719955332817,6,-393.142657623291,2523,80935,517.888149,300.106469,67,100,6747,12
535.570469,87.522074025891,411.171281,73.0719955332817,6,-458.35842590332,2733,87665,515.312162,304.250355,67,100,6730,13
572.256417,99.265409774902,411.171281,73.0719955332817,6,-525.604642944336,2943,94402,534.271434,303.570684,67,100,6737,14
526.041019,73.8908798654187,411.171281,73.0719955332817,6,-389.894100952149,3153,101127,550.624476,295.148052,67,100,6725,15
555.156913,86.9538424623221,411.171281,73.0719955332817,6,-597.7399168396,3363,107862,534.824854,292.729224,67,100,6735,16
514.994518,90.5720793395,411.171281,73.0719955332817,6,-542.472035369873,3573,114600,549.453013,299.491299,67,100,6738,17
487.819668,73.6708127267657,411.171281,73.0719955332817,6,-398.577294387817,3783,121320,515.988083,300.471375,67,100,6720,18
488.525078,67.1072051967694,411.171281,73.0719955332817,6,-355.479316978455,3993,128062,493.894434,290.542195,67,100,6742,19
476.61457,83.4587558899658,411.171281,73.0719955332817,6,-551.456812896728,4203,134783,507.144997,293.855028,67,100,6721,20
468.252465,65.9368997911615,411.171281,73.0719955332817,6,-380.039935531616,4413,141518,470.13257,304.38285,67,100,6735,21
448.20814,72.8790519119712,411.171281,73.0719955332817,6,-414.60700176239,4623,148250,468.315651,293.516602,67,100,6732,22
470.55137,80.7289985071864,411.171281,73.0719955332817,6,-305.975300140381,4833,154975,460.019736,293.009574,67,100,6725,23
540.703052,78.3828533554176,411.171281,73.0719955332817,6,-409.906939315796,5043,161711,467.145968,294.149509,67,100,6736,24
482.276072,82.3354739855441,411.171281,73.0719955332817,6,-1073.40074432373,5253,168440,536.364837,298.171463,67,100,6729,25
521.987237,87.6139145131225,411.171281,73.0719955332817,6,-799.385116882324,5463,175175,498.276073,302.462883,67,100,6735,26
537.373723,82.993778433927,411.171281,73.0719955332817,6,-552.126437683106,5673,181913,518.940773,303.655585,67,100,6738,27
503.57729,70.8653666655292,411.171281,73.0719955332817,6,-602.559280548096,5883,188646,543.004007,299.892276,67,100,6733,28
510.694693,94.5635969409596,411.171281,73.0719955332817,6,-427.432308387756,6093,195371,518.740236,309.459088,67,100,6725,29
507.402081,74.9882733599537,411.171281,73.0719955332817,6,-477.665787887573,6303,202101,506.792952,293.015284,67,100,6730,30
555.364306,97.2973024216148,411.171281,73.0719955332817,6,-561.234324188233,6513,208846,497.412826,292.429453,67,100,6745,31
535.939617,81.2797884889449,411.171281,73.0719955332817,6,-666.82821685791,6722,215557,546.757116,302.199027,67,100,6711,32
531.767566,73.5946224835256,411.171281,73.0719955332817,6,-470.378165588379,6932,222303,520.962669,296.462035,67,100,6746,33
512.473194,85.7081683622207,411.171281,73.0719955332817,6,-469.875592041016,7143,229058,527.304031,301.360447,67,100,6755,34
509.354741,77.3157206433208,411.171281,73.0719955332817,6,-364.927866210938,7353,235792,520.752961,298.694493,67,100,6734,35
497.874574,72.3215996343688,411.171281,73.0719955332817,6,-562.827922058106,7563,242517,512.475509,294.758281,67,100,6725,36
524.194865,74.2715673980055,411.171281,73.0719955332817,6,-541.440276031494,7773,249249,516.891667,300.031026,67,100,6732,37
534.428863,93.2047710189341,411.171281,73.0719955332817,6,-508.916379394531,7983,255975,510.436121,289.821629,67,100,6726,38
524.270861,84.4226992119843,411.171281,73.0719955332817,6,-406.767268371582,8193,262705,524.435403,299.040162,67,100,6730,39
508.391063,79.5189091009901,411.171281,73.0719955332817,6,-447.612897796631,8403,269427,512.109004,292.844047,67,100,6722,40
506.759945,83.2764849745838,411.171281,73.0719955332817,6,-622.865431671143,8612,276136,529.295156,301.866504,67,100,6709,41
505.619619,82.5157748902072,411.171281,73.0719955332817,6,-377.962399291992,8822,282864,524.747658,301.511351,67,100,6728,42
495.74976,63.0679754633935,411.171281,73.0719955332817,6,-380.96069770813,9032,289606,498.579669,288.759473,67,100,6742,43
575.749381,86.288498555529,411.171281,73.0719955332817,6,-558.88266204834,9242,296344,508.398675,296.65618,67,100,6738,44
520.196943,75.2834833339097,411.171281,73.0719955332817,6,-738.052236175537,9452,303066,561.079513,298.851388,67,100,6722,45
548.436539,82.7814377185537,411.171281,73.0719955332817,6,-833.145523681641,9662,309786,534.19093,311.168353,67,100,6720,46
536.349486,78.9962001389105,411.171281,73.0719955332817,6,-965.732124328613,9871,316489,541.37462,292.119236,67,100,6703,47
526.380626,70.2900129020484,411.171281,73.0719955332817,6,-721.698746643066,10081,323219,541.850608,302.861894,67,100,6730,48
548.581311,80.5808867553788,411.171281,73.0719955332817,6,-714.829928741455,10290,329930,543.383639,297.490094,67,100,6711,49
542.352462,86.9163752755967,411.171281,73.0719955332817,6,-856.217392883301,10499,336633,553.826723,293.775564,67,100,6703,50
563.039507,78.9374231312592,411.171281,73.0719955332817,6,-955.310874938965,10709,343360,541.535588,299.995154,67,100,6727,51
542.467585,82.0694462111209,411.171281,73.0719955332817,6,-942.256907043457,10919,350081,566.177576,302.013718,67,100,6721,52
494.765112,87.260180786422,411.171281,73.0719955332817,6,-967.489847717285,11128,356788,547.114937,314.0213,67,100,6707,53
541.429934,74.4054065681644,411.171281,73.0719955332817,6,-785.731524658203,11338,363510,492.58293,295.861797,67,100,6722,54
542.985045,77.5743624410879,411.171281,73.0719955332817,6,-984.468398742676,11548,370248,557.0519,313.400612,67,100,6738,55
502.67075,67.6782686213256,411.171281,73.0719955332817,6,-925.839958152771,11758,376988,562.01155,311.254387,67,100,6740,56
