test_reward,test_reward_std,best_reward,best_reward_std,best_epoch,loss,gradient_step,env_step,rew,bl_rew,len,n/ep,n/st,epoch
333.958579,52.6876778376411,272.237766,54.8041341186178,0,-68.7543709897995,126,4039,293.456049,195.252328,40,100,4039,1
340.67511,55.6708993521023,272.237766,54.8041341186178,0,-304.836227722168,251,8045,329.968682,194.396619,40,100,4006,2
265.20657,51.7868212391869,265.20657,51.7868212391869,3,-329.818161468506,376,12067,333.782625,184.811374,40,100,4022,3
321.833938,71.4400251555538,265.20657,51.7868212391869,3,-51.3499339056015,501,16088,269.678338,192.6999,40,100,4021,4
319.95443,63.8141587553538,265.20657,51.7868212391869,3,-330.318514976501,626,20095,315.536696,198.405725,40,100,4007,5
294.944269,51.6754691639693,265.20657,51.7868212391869,3,-202.110590820312,752,24153,326.84903,202.0843,40,100,4058,6
279.892851,57.505215368369,265.20657,51.7868212391869,3,-191.297685203552,878,28185,296.860186,198.87631,40,100,4032,7
271.797793,55.9124244322016,265.20657,51.7868212391869,3,-19.7695583343506,1003,32208,268.909583,194.273295,40,100,4023,8
266.44053,56.5652939338717,265.20657,51.7868212391869,3,-57.4863755536079,1128,36227,267.973617,190.430774,40,100,4019,9
262.364758,46.7681025218774,262.364758,46.7681025218774,10,-41.341105017662,1253,40253,258.002596,189.691701,40,100,4026,10
256.382363,46.0862166500108,256.382363,46.0862166500108,11,-63.841894094944,1379,44293,270.248589,200.66293,40,100,4040,11
253.305174,48.5998701616262,253.305174,48.5998701616262,12,-42.4014291548729,1504,48309,253.016273,191.849865,40,100,4016,12
266.073556,47.3238171725091,253.305174,48.5998701616262,12,-54.9107650589943,1629,52332,256.013742,193.046034,40,100,4023,13
280.412521,53.7476477093859,253.305174,48.5998701616262,12,-55.6537879574299,1754,56347,254.107238,190.222449,40,100,4015,14
284.054961,52.5762302189723,253.305174,48.5998701616262,12,-99.9835640764236,1879,60348,276.52635,196.091548,40,100,4001,15
272.873099,43.714908133671,253.305174,48.5998701616262,12,-168.906206951141,2004,64355,282.981376,189.696933,40,100,4007,16
285.879891,50.8958043696631,253.305174,48.5998701616262,12,-168.502402386665,2129,68369,281.739261,193.313335,40,100,4014,17
280.446497,56.3447125332474,253.305174,48.5998701616262,12,-202.22959821701,2254,72373,280.880915,189.203423,40,100,4004,18
273.323613,66.8212075239301,253.305174,48.5998701616262,12,-135.099687514305,2379,76402,283.876904,200.952682,40,100,4029,19
286.078193,52.7050655111542,253.305174,48.5998701616262,12,-87.7272092223167,2504,80412,267.508447,193.862185,40,100,4010,20
271.778573,48.6443842471582,253.305174,48.5998701616262,12,-160.084980964661,2629,84428,295.69359,205.218366,40,100,4016,21
283.519209,43.7671258111864,253.305174,48.5998701616262,12,-128.626845216751,2754,88451,278.556223,191.71633,40,100,4023,22
274.141513,53.0490677321829,253.305174,48.5998701616262,12,-184.009145958424,2879,92477,286.204837,195.934415,40,100,4026,23
289.855523,55.7177271860058,253.305174,48.5998701616262,12,-103.120670828819,3005,96512,281.304056,194.184282,40,100,4035,24
285.062032,53.8234335499732,253.305174,48.5998701616262,12,-127.486563487053,3130,100526,296.386019,198.947026,40,100,4014,25
283.752452,49.3662354293752,253.305174,48.5998701616262,12,-139.688104867935,3255,104526,288.559998,198.442728,40,100,4000,26
282.062585,58.162782077697,253.305174,48.5998701616262,12,-143.486010086536,3380,108535,296.984322,205.179224,40,100,4009,27
280.355995,50.7466803522662,253.305174,48.5998701616262,12,-104.647021222115,3505,112561,280.739621,193.522672,40,100,4026,28
284.910804,54.8552280787819,253.305174,48.5998701616262,12,-148.831158237457,3630,116579,279.896841,195.263484,40,100,4018,29
286.292351,56.926453824382,253.305174,48.5998701616262,12,-109.039660670757,3755,120591,284.332476,194.276864,40,100,4012,30
295.855805,56.3617411246235,253.305174,48.5998701616262,12,-175.573780736923,3880,124606,281.217793,189.753589,40,100,4015,31
302.994501,53.1719814421947,253.305174,48.5998701616262,12,-172.178563022614,4005,128618,292.846617,196.10586,40,100,4012,32
302.262024,51.4013680801866,253.305174,48.5998701616262,12,-202.916760253906,4130,132629,301.97251,197.329638,40,100,4011,33
299.088341,50.285484157912,253.305174,48.5998701616262,12,-220.310394821167,4255,136640,302.680552,196.309324,40,100,4011,34
287.941732,49.6848789482271,253.305174,48.5998701616262,12,-330.712274532318,4380,140655,306.090476,199.252773,40,100,4015,35
293.2893,49.8667164963405,253.305174,48.5998701616262,12,-211.90344827652,4505,144678,285.601911,185.830673,40,100,4023,36
282.613224,46.1615605335459,253.305174,48.5998701616262,12,-173.449694874287,4630,148697,294.51813,197.667437,40,100,4019,37
305.86939,50.356821431257,253.305174,48.5998701616262,12,-136.76460773468,4755,152699,282.835385,197.482157,40,100,4002,38
318.776587,66.794495811665,253.305174,48.5998701616262,12,-262.490321807861,4881,156731,304.283377,198.51551,40,100,4032,39
300.321759,53.2771096497306,253.305174,48.5998701616262,12,-225.843064174652,5006,160747,310.16922,198.679506,40,100,4016,40
295.234372,51.937099751461,253.305174,48.5998701616262,12,-322.9444947052,5131,164767,304.556005,191.688274,40,100,4020,41
281.624715,58.9277011604107,253.305174,48.5998701616262,12,-306.802700500488,5255,168763,291.324934,190.703459,39,100,3996,42
289.509631,51.9910333231601,253.305174,48.5998701616262,12,-163.060531215668,5380,172781,276.351772,194.98677,40,100,4018,43
304.765279,49.5696963914513,253.305174,48.5998701616262,12,-124.798204154968,5505,176797,296.388237,196.705131,40,100,4016,44
309.109809,51.2834245544544,253.305174,48.5998701616262,12,-139.859209032059,5630,180817,313.030358,202.236817,40,100,4020,45
292.585234,43.3003642503599,253.305174,48.5998701616262,12,-179.281110448837,5755,184839,317.575996,193.219505,40,100,4022,46
301.362448,49.399418052891,253.305174,48.5998701616262,12,-124.883415756226,5880,188856,291.672989,194.608552,40,100,4017,47
335.810505,63.4865968296606,253.305174,48.5998701616262,12,-199.280574083328,6004,192854,312.304835,195.917827,39,100,3998,48
316.983584,56.5303326354192,253.305174,48.5998701616262,12,-187.803397941589,6129,196869,315.061944,187.008955,40,100,4015,49
311.399704,48.2505246748176,253.305174,48.5998701616262,12,-270.695169448853,6254,200873,322.373161,197.55327,40,100,4004,50
305.214959,60.3384555091131,253.305174,48.5998701616262,12,-227.522478227615,6379,204877,321.585465,198.415092,40,100,4004,51
323.535808,54.343708897663,253.305174,48.5998701616262,12,-291.418012313843,6504,208898,302.472477,197.0465,40,100,4021,52
309.302797,58.8049727976834,253.305174,48.5998701616262,12,-291.356015586853,6629,212903,313.43576,189.67583,40,100,4005,53
306.277321,55.2020393953834,253.305174,48.5998701616262,12,-360.970902404785,6754,216910,310.573958,201.304806,40,100,4007,54
312.882749,59.625450389966,253.305174,48.5998701616262,12,-423.431853942871,6879,220929,328.18028,203.051307,40,100,4019,55
328.736725,55.6018415603123,253.305174,48.5998701616262,12,-304.609207763672,7004,224945,307.712197,190.732568,40,100,4016,56
316.30048,56.6382072499775,253.305174,48.5998701616262,12,-365.194335632324,7130,228980,324.56504,189.810833,40,100,4035,57
312.177606,63.7552016532907,253.305174,48.5998701616262,12,-366.355503540039,7255,232993,314.880549,201.087855,40,100,4013,58
310.125218,57.0207454384005,253.305174,48.5998701616262,12,-407.938921661377,7380,237012,305.858074,190.388583,40,100,4019,59
326.277491,52.839625255772,253.305174,48.5998701616262,12,-528.420773010254,7505,241042,325.845654,197.72488,40,100,4030,60
338.386221,67.9028917670379,253.305174,48.5998701616262,12,-557.757931213379,7630,245059,320.51658,189.772964,40,100,4017,61
307.065057,52.0374114900045,253.305174,48.5998701616262,12,-471.476012115479,7755,249081,340.157131,192.612408,40,100,4022,62
308.608404,62.4509197599602,253.305174,48.5998701616262,12,-342.714079589844,7880,253099,300.358835,194.143746,40,100,4018,63
338.896765,59.2449664037163,253.305174,48.5998701616262,12,-538.680862731934,8005,257128,311.113787,195.331171,40,100,4029,64
322.545005,52.6057151049682,253.305174,48.5998701616262,12,-489.062831726074,8130,261143,341.066979,189.124288,40,100,4015,65
329.296016,47.8071060083012,253.305174,48.5998701616262,12,-500.282216186523,8255,265167,321.11159,197.189576,40,100,4024,66
335.603986,59.4046426825699,253.305174,48.5998701616262,12,-491.874905090332,8380,269184,327.226671,188.622136,40,100,4017,67
317.751946,55.2989682683708,253.305174,48.5998701616262,12,-572.575400543213,8505,273213,322.697925,192.66184,40,100,4029,68
328.571331,60.2223210653487,253.305174,48.5998701616262,12,-592.043589782715,8630,277237,324.173726,195.317403,40,100,4024,69
326.153519,55.7268028905386,253.305174,48.5998701616262,12,-483.269569091797,8755,281253,338.823221,198.577027,40,100,4016,70
329.711019,49.5260917286468,253.305174,48.5998701616262,12,-615.247590637207,8881,285286,324.063515,190.512167,40,100,4033,71
351.222621,48.1229390965749,253.305174,48.5998701616262,12,-436.04307800293,9006,289316,345.103496,200.841482,40,100,4030,72
346.491778,61.2512484112897,253.305174,48.5998701616262,12,-392.291544570923,9131,293339,343.353598,189.748596,40,100,4023,73
342.991438,64.9680762715794,253.305174,48.5998701616262,12,-467.952550811768,9256,297356,326.264802,188.240823,40,100,4017,74
355.855225,56.9811495065612,253.305174,48.5998701616262,12,-511.612719573975,9381,301378,340.517725,197.791662,40,100,4022,75
332.100425,55.3441530833192,253.305174,48.5998701616262,12,-254.998314323425,9506,305394,337.62179,187.583279,40,100,4016,76
321.319574,57.8705692175853,253.305174,48.5998701616262,12,-442.795619354248,9632,309426,316.864788,193.691889,40,100,4032,77
329.528,44.8246721846931,253.305174,48.5998701616262,12,-512.419059448242,9757,313452,333.853674,199.30886,40,100,4026,78
