test_reward,test_reward_std,best_reward,best_reward_std,best_epoch,loss,gradient_step,env_step,rew,bl_rew,len,n/ep,n/st,epoch
-109.182952,28.918623955408,-109.182952,28.918623955408,1,-17.5252355673374,40,1292,-98.397285,-144.465226,12,100,1292,1
-105.91325,28.3944365883583,-109.182952,28.918623955408,1,-17.9527893484413,80,2593,-107.970193,-147.853335,13,100,1301,2
-109.744965,26.5694793412832,-109.744965,26.5694793412832,3,-14.3870465922356,120,3893,-109.713305,-141.173727,13,100,1300,3
-107.408401,30.9340771628684,-109.744965,26.5694793412832,3,-13.4220539498329,160,5188,-112.909323,-145.706776,12,100,1295,4
-111.095466,28.6276318158182,-111.095466,28.6276318158182,5,-15.4476610636711,200,6482,-112.457281,-144.097195,12,100,1294,5
-111.892393,26.3768293388127,-111.892393,26.3768293388127,6,-21.7666427743435,240,7781,-110.331481,-142.549967,12,100,1299,6
-110.30307,24.6713694746907,-111.892393,26.3768293388127,6,-23.2284742391109,280,9090,-114.037661,-147.024919,13,100,1309,7
-116.077955,32.3709684990467,-116.077955,32.3709684990467,8,-23.6598639595509,320,10388,-115.196922,-147.244779,12,100,1298,8
-112.291253,27.982082622873,-116.077955,32.3709684990467,8,-25.3654798674583,360,11689,-112.041265,-139.857886,13,100,1301,9
-111.182336,23.047019852187,-116.077955,32.3709684990467,8,-26.7503039485216,400,12997,-108.57484,-138.004598,13,100,1308,10
-115.151665,27.1310139838797,-116.077955,32.3709684990467,8,-29.7796592265367,440,14303,-112.611439,-140.071837,13,100,1306,11
-111.633895,27.5116347905332,-116.077955,32.3709684990467,8,-32.2258326262236,481,15615,-114.259335,-143.441584,13,100,1312,12
-112.786512,30.120885744059,-116.077955,32.3709684990467,8,-27.828809170723,521,16905,-112.783135,-144.331983,12,100,1290,13
-110.637085,24.1808397137667,-116.077955,32.3709684990467,8,-13.1951525312662,562,18224,-117.129583,-144.305477,13,100,1319,14
-115.382314,30.3430992805778,-116.077955,32.3709684990467,8,-19.5452225500345,602,19522,-109.20485,-140.496709,12,100,1298,15
-109.348251,27.3482153769473,-116.077955,32.3709684990467,8,-26.8899341827631,642,20819,-106.970223,-137.163618,12,100,1297,16
-109.986349,24.5852090798126,-116.077955,32.3709684990467,8,-32.3035285568237,683,22136,-110.335139,-143.825525,13,100,1317,17
-110.238923,25.4906348721049,-116.077955,32.3709684990467,8,-39.3667513534427,723,23440,-108.139219,-139.482092,13,100,1304,18
-109.533961,29.2484438480781,-116.077955,32.3709684990467,8,-37.5849784895778,763,24736,-108.514984,-139.388994,12,100,1296,19
-105.025882,25.7364186513601,-116.077955,32.3709684990467,8,-49.6210523316264,803,26033,-110.181731,-143.538612,12,100,1297,20
-109.178003,26.4248257610924,-116.077955,32.3709684990467,8,-42.2067597913742,843,27341,-108.550442,-143.194033,13,100,1308,21
-119.363456,26.1162533800939,-119.363456,26.1162533800939,22,-52.3746780109406,883,28636,-107.494522,-137.629144,12,100,1295,22
-111.984013,24.2824879380539,-119.363456,26.1162533800939,22,-45.733805372715,923,29928,-112.22058,-140.062185,12,100,1292,23
-106.358004,26.8627775964435,-119.363456,26.1162533800939,22,-53.5977992892265,963,31229,-109.212669,-139.152588,13,100,1301,24
-108.434855,25.4676092735945,-119.363456,26.1162533800939,22,-45.7622961068153,1003,32532,-114.120747,-143.640659,13,100,1303,25
-113.193507,26.9115032569727,-119.363456,26.1162533800939,22,-49.5053712868691,1043,33830,-108.131353,-135.909859,12,100,1298,26
-113.253212,26.2681234527527,-119.363456,26.1162533800939,22,-42.7565041351318,1083,35130,-109.704856,-141.74497,13,100,1300,27
-108.041672,26.2028819717644,-119.363456,26.1162533800939,22,-57.4237611937523,1123,36431,-111.03987,-140.879594,13,100,1301,28
-110.799393,28.03944619338,-119.363456,26.1162533800939,22,-46.113044397831,1163,37732,-112.415567,-145.495019,13,100,1301,29
-106.657136,25.3320745884956,-119.363456,26.1162533800939,22,-60.7954126858711,1203,39034,-113.890277,-142.539615,13,100,1302,30
-108.90506,24.4360690950038,-119.363456,26.1162533800939,22,-51.9327993273735,1243,40329,-105.978647,-137.63178,12,100,1295,31
-111.59874,24.9874489346832,-119.363456,26.1162533800939,22,-73.9392656040192,1283,41627,-113.350451,-148.085111,12,100,1298,32
-112.650419,27.0899601146502,-119.363456,26.1162533800939,22,-60.7091215801239,1323,42915,-107.649704,-136.466099,12,100,1288,33
-112.228877,26.9654401148316,-119.363456,26.1162533800939,22,-65.1648154592514,1363,44211,-109.315787,-139.228932,12,100,1296,34
-112.269252,27.8895508640404,-119.363456,26.1162533800939,22,-86.4064917755127,1403,45509,-107.589433,-142.272506,12,100,1298,35
-112.644548,26.1273686262413,-119.363456,26.1162533800939,22,-77.5505862355232,1443,46793,-112.866709,-143.567135,12,100,1284,36
-112.413907,27.622605533987,-119.363456,26.1162533800939,22,-79.713733818531,1483,48089,-103.652836,-133.176524,12,100,1296,37
-110.289892,31.7684600798486,-119.363456,26.1162533800939,22,-66.7272399544716,1523,49384,-111.980825,-142.167556,12,100,1295,38
-116.273968,31.388024689814,-119.363456,26.1162533800939,22,-93.5161553412676,1563,50687,-103.647301,-137.74169,13,100,1303,39
-107.613366,26.2673242922161,-119.363456,26.1162533800939,22,-74.4580983012915,1603,51985,-107.792585,-137.526502,12,100,1298,40
-109.32327,27.3082475854768,-119.363456,26.1162533800939,22,-87.5005199158192,1643,53282,-106.109439,-142.660797,12,100,1297,41
-106.510365,22.1264455630242,-119.363456,26.1162533800939,22,-69.024470512867,1683,54581,-109.836956,-142.276461,12,100,1299,42
-102.870212,24.7347455415304,-119.363456,26.1162533800939,22,-78.4499563384056,1723,55869,-107.310162,-139.297437,12,100,1288,43
-110.741313,26.224257845894,-119.363456,26.1162533800939,22,-84.3151511788368,1763,57166,-114.24626,-148.778808,12,100,1297,44
-111.775796,25.4999151217682,-119.363456,26.1162533800939,22,-83.3329894065857,1803,58465,-108.741275,-138.428361,12,100,1299,45
-113.276175,31.3621144667236,-119.363456,26.1162533800939,22,-74.0426960039139,1843,59756,-110.242509,-139.74989,12,100,1291,46
-113.478374,25.1822743008117,-119.363456,26.1162533800939,22,-67.8205629301071,1883,61046,-110.602217,-142.311136,12,100,1290,47
-109.302931,31.2315476649323,-119.363456,26.1162533800939,22,-69.3940994930267,1923,62346,-109.791674,-140.166216,13,100,1300,48
-112.061113,22.9821415887713,-119.363456,26.1162533800939,22,-62.1317234659195,1963,63644,-110.96075,-141.946925,12,100,1298,49
-109.868553,27.3653792879633,-119.363456,26.1162533800939,22,-68.1825430822372,2003,64941,-114.212833,-147.754867,12,100,1297,50
-114.143466,29.6169442172491,-119.363456,26.1162533800939,22,-67.5442080497742,2043,66230,-110.470138,-142.854034,12,100,1289,51
